model,version,dataset,accuracy,precision,recall,f1,auc
RandomForest,original,ARAGAT,0.0,0.0,0.0,0.0,
RandomForest,hardened,ARAGAT,1.0,1.0,1.0,1.0,
RandomForest,original,CIC,0.9350979384386957,0.8875902186793062,0.9888388838883888,0.9354829553518208,0.9406770780036003
RandomForest,hardened,CIC,0.9350979384386957,0.8875902186793062,0.9888388838883888,0.9354829553518208,0.9404626097517416
XGBoost,original,ARAGAT,0.0,0.0,0.0,0.0,
XGBoost,hardened,ARAGAT,1.0,1.0,1.0,1.0,
XGBoost,original,CIC,0.9351264919193649,0.8875962729573975,0.9888988898889889,0.935513169845595,0.9412076932484881
XGBoost,hardened,CIC,0.9351550454000342,0.8876440805773995,0.9888988898889889,0.9355397235389288,0.9414368974076684
LightGBM,original,ARAGAT,0.0,0.0,0.0,0.0,
LightGBM,hardened,ARAGAT,1.0,1.0,1.0,1.0,
LightGBM,original,CIC,0.9352121523613729,0.8876561826798793,0.989018901890189,0.9356001475889081,0.9408808686065534
LightGBM,hardened,CIC,0.9351835988807036,0.887650131954543,0.988958895889589,0.935569936421435,0.9410890100286381
CNN,original,ARAGAT,0.8472222222222222,1.0,0.8472222222222222,0.9172932330827067,
CNN,hardened,ARAGAT,0.8194444444444444,1.0,0.8194444444444444,0.9007633587786259,
CNN,original,CIC,0.9349551710353492,0.8874346959659611,0.9887188718871888,0.9353428701180745,0.9423792044182356
CNN,hardened,CIC,0.9348980640740107,0.8875060610958462,0.9884788478847885,0.9352750809061489,0.941710982668785
LSTM,original,ARAGAT,0.013888888888888888,1.0,0.013888888888888888,0.0273972602739726,
LSTM,hardened,ARAGAT,1.0,1.0,1.0,1.0,
LSTM,original,CIC,0.9352407058420421,0.8875370121130551,0.9892589258925892,0.9356413166855846,0.9416595263056294
LSTM,hardened,CIC,0.9350408314773571,0.8872860372483583,0.9891389138913892,0.9354481741054961,0.9421918952803926
