model,version,dataset,accuracy,precision,recall,f1,fpr
RandomForest,Baseline,CIC-2021,0.9350979384386957,0.8875902186793062,0.9888388838883888,0.9354829553518208,0.11368960069728169
RandomForest,Hardened,CIC-2021,0.9351550454000342,0.8876858435681965,0.9888388838883888,0.9355360640381504,0.1135806504330773
RandomForest,Baseline,Mutant Payload (held-out 30%),0.8289305639577872,0.0,0.0,0.0,0.022201078338090707
RandomForest,Hardened,Mutant Payload (held-out 30%),1.0,1.0,1.0,1.0,0.0
XGBoost,Baseline,CIC-2021,0.9351264919193649,0.8875962729573975,0.9888988898889889,0.935513169845595,0.11368960069728169
XGBoost,Hardened,CIC-2021,0.9350122779966878,0.8874468199687652,0.9888388838883888,0.9354033036271783,0.11385302609358827
XGBoost,Baseline,Mutant Payload (held-out 30%),0.8477515628150837,0.0,0.0,0.0,0.0
XGBoost,Hardened,Mutant Payload (held-out 30%),1.0,1.0,1.0,1.0,0.0
LightGBM,Baseline,CIC-2021,0.9352121523613729,0.8876561826798793,0.989018901890189,0.9356001475889081,0.11363512556517949
LightGBM,Hardened,CIC-2021,0.9352978128033808,0.8876743309460987,0.9891989198919892,0.9356907708025882,0.11363512556517949
LightGBM,Baseline,Mutant Payload (held-out 30%),0.8477515628150837,0.0,0.0,0.0,0.0
LightGBM,Hardened,Mutant Payload (held-out 30%),1.0,1.0,1.0,1.0,0.0
LogisticRegression,Baseline,CIC-2021,0.9332705156758608,0.8870758590879619,0.9851785178517852,0.9335569897364455,0.11385302609358827
LogisticRegression,Hardened,CIC-2021,0.9331277482725144,0.8868362772106088,0.9851785178517852,0.9334242992779578,0.11412540175409926
LogisticRegression,Baseline,Mutant Payload (held-out 30%),0.9171876050278954,1.0,0.45607064017660043,0.6264402668283808,0.0
LogisticRegression,Hardened,Mutant Payload (held-out 30%),0.9998655642938764,0.9991177767975298,1.0,0.999558693733451,0.0001585791309863622
CNN,Baseline,CIC-2021,0.9348695105933413,0.8875835309333908,0.9882988298829883,0.9352375003549019,0.11363512556517949
CNN,Hardened,CIC-2021,0.9348124036320027,0.8874878758486906,0.9882988298829883,0.9351843965590665,0.11374407582938388
CNN,Baseline,Mutant Payload (held-out 30%),0.881158835786785,0.8012121212121213,0.291832229580574,0.427831715210356,0.0130034887408817
CNN,Hardened,Mutant Payload (held-out 30%),1.0,1.0,1.0,1.0,0.0
LSTM,Baseline,CIC-2021,0.9349837245160185,0.8875659950436375,0.9885988598859886,0.9353620802225565,0.11368960069728169
LSTM,Hardened,CIC-2021,0.9351550454000342,0.8874771185528157,0.9891389138913892,0.9355543573881211,0.11385302609358827
LSTM,Baseline,Mutant Payload (held-out 30%),0.8348457350272233,0.1417910447761194,0.016777041942604858,0.030003947887879984,0.01823660006343165
LSTM,Hardened,Mutant Payload (held-out 30%),1.0,1.0,1.0,1.0,0.0
