,RandomForest,XGBoost,LightGBM,LogisticRegression,CNN,LSTM
seed_10,0.007990867579908675,0.0,0.0,0.4726027397260274,0.2888127853881279,0.0182648401826484
seed_21,0.0045662100456621,0.0,0.0,0.4611872146118721,0.2922374429223744,0.01598173515981735
seed_35,0.012962962962962963,0.0,0.0,0.4759259259259259,0.2962962962962963,0.016666666666666666
seed_42,0.0045662100456621,0.0,0.0,0.4452054794520548,0.2694063926940639,0.0273972602739726
seed_55,0.0045662100456621,0.0,0.0,0.4486301369863014,0.2968036529680365,0.0136986301369863
seed_60,0.00684931506849315,0.0,0.0,0.4474885844748858,0.3264840182648402,0.01598173515981735
seed_75,0.001141552511415525,0.0,0.0,0.4337899543378995,0.3059360730593607,0.0182648401826484
seed_82,0.001141552511415525,0.0,0.0,0.4360730593607306,0.2945205479452055,0.02054794520547945
seed_99,0.005707762557077625,0.0,0.0,0.454337899543379,0.3150684931506849,0.014840182648401826
